quote
"The most dangerous phrase in our language is, 'We've always done it this way.'"
"I've always been more interested in the future than in the past."
"From then on, when anything went wrong with a computer, we said it had bugs in it."
"It's easier to ask forgiveness than it is to get permission."
"We're just getting started."
"You cannot manage men into battle. You manage things; you lead people"
"A ship in port is safe, but that's not what ships are built for. Sail out to sea and do new things."
"The glass is neither half empty nor half full. It's simply larger than it needs to be."
"Leadership is a two-way street, loyalty up and loyalty down. Respect for one's superiors; care for one's crew."
"One accurate measurement is worth a thousand expert opinions."
"To me programming is more than an important practical art. It is also a gigantic undertaking in the foundations of knowledge."
"Developing a compiler was a logical move; but in matters like this, you don't run against logic - you run against people who can't change their minds."
"I've received many honors and I'm grateful for them; but I've already received the highest award I'll ever receive, and that has been the privilege and honor of serving very proudly in the United States Navy."
"If you want my ghost just say ' We've always done it that way.' and i will haunt you for 24 hours."
